SCHED 1198ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 2 ] schedticks=[ 683 687 ]
SCHED 1210ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 683 688 ]
SCHED 1223ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 683 689 ]
SCHED 1236ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 684 689 ]
SCHED 1248ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 684 690 ]
SCHED 1260ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 685 690 ]
SCHED 1273ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 2 ] schedticks=[ 686 690 ]
SCHED 1286ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 686 691 ]
SCHED 1298ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 686 692 ]
SCHED 1310ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 687 692 ]
SCHED 1321ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 687 693 ]
SCHED 1332ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 688 693 ]
SCHED 1343ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 688 694 ]
SCHED 1354ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 689 694 ]
SCHED 1365ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 689 695 ]
SCHED 1377ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 690 695 ]
SCHED 1390ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 690 696 ]
SCHED 1401ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 691 696 ]
SCHED 1411ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 691 697 ]
SCHED 1422ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 692 697 ]
SCHED 1432ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 692 698 ]
SCHED 1443ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 693 698 ]
SCHED 1456ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 693 699 ]
