SCHED 1310ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=802 [ 103 27 ] schedticks=[ 1242 1141 ]
SCHED 1320ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=802 [ 90 14 ] schedticks=[ 1255 1154 ]
SCHED 1333ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=801 [ 84 5 ] schedticks=[ 1261 1164 ]
SCHED 1345ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=801 [ 84 5 ] schedticks=[ 1261 1164 ]
SCHED 1358ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=675 [ 68 116 ] schedticks=[ 1277 1181 ]
SCHED 1369ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=674 [ 54 112 ] schedticks=[ 1292 1185 ]
SCHED 1382ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=674 [ 38 112 ] schedticks=[ 1308 1185 ]
SCHED 1394ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=675 [ 33 96 ] schedticks=[ 1313 1201 ]
SCHED 1405ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=675 [ 33 83 ] schedticks=[ 1313 1214 ]
SCHED 1415ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=675 [ 20 71 ] schedticks=[ 1327 1227 ]
SCHED 1428ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=674 [ 4 61 ] schedticks=[ 1343 1237 ]
SCHED 1439ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=546 [ 118 61 ] schedticks=[ 1357 1237 ]
SCHED 1449ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=547 [ 105 47 ] schedticks=[ 1370 1251 ]
SCHED 1462ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=547 [ 90 31 ] schedticks=[ 1385 1267 ]
SCHED 1473ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=547 [ 90 18 ] schedticks=[ 1385 1280 ]
SCHED 1483ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=547 [ 76 10 ] schedticks=[ 1399 1289 ]
SCHED 1495ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=546 [ 62 10 ] schedticks=[ 1414 1289 ]
SCHED 1506ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=419 [ 48 124 ] schedticks=[ 1428 1303 ]
SCHED 1518ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=419 [ 33 108 ] schedticks=[ 1443 1319 ]
SCHED 1531ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=419 [ 16 92 ] schedticks=[ 1460 1335 ]
SCHED 1543ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=417 [ 1 77 ] schedticks=[ 1476 1351 ]
SCHED 1556ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=289 [ 113 61 ] schedticks=[ 1492 1367 ]
SCHED 1568ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=289 [ 97 45 ] schedticks=[ 1508 1383 ]
SCHED 1581ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=289 [ 81 29 ] schedticks=[ 1524 1399 ]
